drug_a_rxcui,drug_a_name,drug_b_rxcui,drug_b_name,severity,description,source,severity_clean,severity_color,pair_id
8640,Prednisone,1191,Aspirin,Medium,"Even low-dose aspirin (81mg) increases GI risk when combined with corticosteroids. Aspirin irreversibly inhibits platelet COX, affecting hemostasis for platelet lifespan (7-10 days). If both needed (e.g., RA on prednisone + aspirin for CV protection), strongly consider PPI prophylaxis.",Curated Clinical References,Medium,#F39C12,Aspirin_Prednisone
3264,Dexamethasone,5640,Ibuprofen,Medium,"Dexamethasone is more potent than prednisone (6-7x). Higher GI toxicity potential. Avoid NSAID if possible; use acetaminophen for pain. If NSAID necessary, limit to 5-7 days maximum, use with PPI.",Curated Clinical References,Medium,#F39C12,Dexamethasone_Ibuprofen
6902,Methylprednisolone,7258,Naproxen,Medium,"Potent corticosteroid (4-5x prednisone) plus NSAID creates high GI risk. Commonly seen in rheumatologic disease flares where both may be used. Educate patient on warning signs: black stools (melena), coffee-ground emesis, severe abdominal pain. Seek immediate care if these occur.",Curated Clinical References,Medium,#F39C12,Methylprednisolone_Naproxen
5640,Ibuprofen,7258,Naproxen,Medium,"No additional anti-inflammatory benefit from combining NSAIDs. GI toxicity increases 2-3 fold. Renal toxicity also increased. Common error: patient taking OTC ibuprofen while on prescription naproxen, or vice versa. Educate patients: use only ONE NSAID at a time. Choose based on duration needed and dosing frequency.",Curated Clinical References,Medium,#F39C12,Ibuprofen_Naproxen
1191,Aspirin,5640,Ibuprofen,Low,"Ibuprofen competes with aspirin for COX-1 binding site on platelets. If ibuprofen taken before aspirin, may block aspirin antiplatelet effect. Clinical relevance debated but concerning for CV protection. Recommendation: take aspirin ≥2 hours before ibuprofen. Or use alternative analgesic (acetaminophen, naproxen).",Curated Clinical References,Low,#27AE60,Aspirin_Ibuprofen
1191,Aspirin,7258,Naproxen,Medium,"Both have antiplatelet effects but naproxen does not interfere with aspirin binding like ibuprofen. Still increases bleeding and GI risk without additional CV benefit. Generally avoid combination; if needed, use with PPI and monitor for bleeding.",Curated Clinical References,Medium,#F39C12,Aspirin_Naproxen
1191,Aspirin,6960,Meloxicam,Medium,Meloxicam is COX-2 selective but still increases bleeding risk when combined with aspirin. No CV benefit beyond aspirin alone. Additive GI toxicity. Reserve meloxicam for inflammatory conditions; use acetaminophen for simple pain.,Curated Clinical References,Medium,#F39C12,Aspirin_Meloxicam
5640,Ibuprofen,6960,Meloxicam,Medium,Combining non-selective NSAID with COX-2 selective NSAID provides no benefit. Increases GI and renal adverse effects. Common in patients self-medicating with OTC ibuprofen while on prescription meloxicam. Educate on NSAID category recognition.,Curated Clinical References,Medium,#F39C12,Ibuprofen_Meloxicam
7258,Naproxen,6960,Meloxicam,Medium,"Redundant NSAID therapy. Both have long half-lives (naproxen 12-17h, meloxicam 15-20h), increasing steady-state accumulation risk. Higher likelihood of renal dysfunction, edema, hypertension. Use single agent at appropriate dose rather than combining.",Curated Clinical References,Medium,#F39C12,Meloxicam_Naproxen
3355,Diclofenac,5640,Ibuprofen,Medium,"No rationale for combination. Diclofenac has highest CV risk among NSAIDs; adding ibuprofen increases this further. Avoid combination. If NSAID needed, choose one based on indication and patient risk factors.",Curated Clinical References,Medium,#F39C12,Diclofenac_Ibuprofen
2551,Ciprofloxacin,2122,Calcium Carbonate,Medium,"Divalent/trivalent cations (Ca2+, Mg2+, Fe3+, Al3+, Zn2+) chelate fluoroquinolones in GI tract, forming non-absorbable complexes. Reduces ciprofloxacin bioavailability 50-90%, causing treatment failure. Separate doses: take ciprofloxacin 2 hours BEFORE or 6 hours AFTER calcium supplement. Applies to: antacids, calcium supplements, multivitamins with minerals.",Curated Clinical References,Medium,#F39C12,Calcium Carbonate_Ciprofloxacin
